DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-66825.63281,-39612.23828,3.68066,97.1,6610.63574,38,6abu.B99990001
-67727.66406,-13128.80371,3.63167,93.9,6550.76807,79,6abu.B99990002
-67566.15625,-15800.0332,3.64044,94.7,6183.12402,69,6abu.B99990003
-68091.03125,-19637.42773,3.61193,94.5,6005.89014,71,6abu.B99990004
-70033.02344,-32167.52734,3.50646,95.5,6628.97852,59,6abu.B99990005
-62976.13672,-10414.0293,3.88973,92.8,7122.90381,94,6abu.B99990006
-66979.00781,-29943.32031,3.67233,95.7,6092.98584,56,6abu.B99990007
-70215.57031,-35222.21484,3.49655,95.9,6259.11572,53,6abu.B99990008
-64705.00391,-19873.23633,3.79583,95.4,6334.34521,60,6abu.B99990009
-67808.53125,-4467.08691,3.62728,92.1,7089.08008,103,6abu.B99990010
-67797.32812,-44808.23438,3.62789,97.1,6059.47021,38,6abu.B99990011
-70135.53125,-22756.94531,3.5009,94.9,6650.23438,67,6abu.B99990012
-66513.75781,-30527.45117,3.6976,97.0,5355.4375,39,6abu.B99990013
-68190.875,-15800.3623,3.60651,95.8,6198.3584,55,6abu.B99990014
-67591.65625,-34934.04688,3.63906,96.7,5533.30566,43,6abu.B99990015
-74095.78906,-31916.4375,3.28581,94.8,6635.39355,68,6abu.B99990016
-73227.45312,-14296.89648,3.33297,94.3,6718.85986,74,6abu.B99990017
-74567.875,-27751.48633,3.26017,95.3,6586.25049,61,6abu.B99990018
-68845.69531,-42555.87109,3.57095,97.5,5466.60059,33,6abu.B99990019
-66563.51562,-35137.41797,3.69489,96.5,5919.00635,46,6abu.B99990020
-69251.98438,-11492.36133,3.54888,94.4,6496.86914,73,6abu.B99990021
-63760.43359,-20747.35547,3.84713,95.9,6153.56934,54,6abu.B99990022
-66926.96094,-33240.57812,3.67516,97.2,5629.0127,37,6abu.B99990023
-68801.0,-34197.82812,3.57337,96.3,6009.57422,48,6abu.B99990024
-67812.24219,-30714.27344,3.62708,95.7,6211.04297,56,6abu.B99990025
-68521.95312,-21992.5625,3.58853,96.2,5769.60156,49,6abu.B99990026
-68275.85938,-14922.97852,3.6019,95.8,6220.66064,55,6abu.B99990027
-63169.44141,-33260.01172,3.87923,97.8,5524.13281,29,6abu.B99990028
-71406.13281,-19626.86328,3.43189,94.0,6413.66602,78,6abu.B99990029
-66839.85938,-10040.9541,3.67989,95.7,7184.21289,56,6abu.B99990030
-66971.47656,-38647.03125,3.67274,97.4,5271.65723,34,6abu.B99990031
-67058.10156,-44350.06641,3.66803,97.9,5610.86768,27,6abu.B99990032
-66702.46875,-11228.2666,3.68735,93.8,6396.16553,81,6abu.B99990033
-62728.63672,-16430.49023,3.90317,94.8,6056.77246,68,6abu.B99990034
-62917.55078,-21315.44922,3.89291,97.3,5433.39893,35,6abu.B99990035
-69298.8125,-37278.98047,3.54634,97.8,5369.81494,29,6abu.B99990036
-71116.46094,2326.36353,3.44762,91.0,7565.70605,117,6abu.B99990037
-65093.87891,-20703.84375,3.77471,92.6,7699.38428,96,6abu.B99990038
-67092.65625,-18971.36328,3.66616,94.4,6467.82129,73,6abu.B99990039
-72172.94531,-23896.19727,3.39024,94.5,6991.19873,71,6abu.B99990040
-68275.39062,-42094.78906,3.60192,97.4,5482.69824,34,6abu.B99990041
-67989.64844,-20369.05664,3.61744,95.4,5885.41895,60,6abu.B99990042
-64302.79297,-46985.48047,3.81768,98.9,5036.05176,14,6abu.B99990043
-70623.71875,-23257.87109,3.47438,94.6,6385.52979,70,6abu.B99990044
-67820.09375,-34425.71484,3.62665,96.3,6054.38281,48,6abu.B99990045
-65526.14844,-12541.64453,3.75124,94.0,6423.42041,78,6abu.B99990046
-64163.01953,-22743.89844,3.82527,95.0,6647.18213,65,6abu.B99990047
-67510.66406,-9832.83496,3.64345,94.8,6314.70264,68,6abu.B99990048
-60982.49609,-23435.0957,3.99801,95.9,5922.02002,54,6abu.B99990049
-68056.1875,-3480.1123,3.61383,92.8,7111.35889,94,6abu.B99990050
