DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-13546.45898,-13232.51465,-1.52994,100.0,484.72595,0,1agrE.B99990001
-13662.06543,-13189.05273,-1.5939,100.0,490.06332,0,1agrE.B99990002
-13818.95801,-13402.47559,-1.68071,100.0,507.39267,0,1agrE.B99990003
-13443.12402,-13170.18457,-1.47276,100.0,482.17368,0,1agrE.B99990004
-13617.65723,-13407.17773,-1.56933,100.0,474.69406,0,1agrE.B99990005
-13449.94629,-13012.19922,-1.47654,100.0,511.92746,0,1agrE.B99990006
-13486.00781,-12988.17578,-1.49649,100.0,477.70438,0,1agrE.B99990007
-13555.90234,-13294.25488,-1.53516,100.0,496.07919,0,1agrE.B99990008
-13619.41992,-13274.28223,-1.5703,99.2,494.8587,1,1agrE.B99990009
-13487.44922,-12852.96777,-1.49729,100.0,496.53055,0,1agrE.B99990010
-13567.00488,-13017.87109,-1.5413,100.0,551.4306,0,1agrE.B99990011
-13426.49219,-13026.22949,-1.46356,100.0,515.82007,0,1agrE.B99990012
-13489.14551,-12998.86914,-1.49822,100.0,486.29422,0,1agrE.B99990013
-13673.20312,-13414.6416,-1.60006,100.0,455.75485,0,1agrE.B99990014
-13505.09961,-13057.09961,-1.50705,100.0,525.34717,0,1agrE.B99990015
-13556.35645,-13118.90039,-1.53541,100.0,541.69458,0,1agrE.B99990016
-13595.4209,-13310.55469,-1.55703,100.0,488.84113,0,1agrE.B99990017
-13635.0918,-13223.19629,-1.57898,100.0,469.90616,0,1agrE.B99990018
-13753.07129,-13398.6377,-1.64425,100.0,456.25012,0,1agrE.B99990019
-13435.14648,-13263.29395,-1.46835,100.0,495.60101,0,1agrE.B99990020
-13537.34668,-13055.92285,-1.52489,100.0,574.27692,0,1agrE.B99990021
-13371.93555,-12469.35449,-1.43337,100.0,576.37701,0,1agrE.B99990022
-13508.2959,-13111.42969,-1.50882,100.0,552.94952,0,1agrE.B99990023
-13720.58789,-13505.02539,-1.62628,100.0,492.35754,0,1agrE.B99990024
-13636.75781,-13151.95117,-1.5799,100.0,470.70615,0,1agrE.B99990025
-13751.18457,-13608.09277,-1.64321,100.0,484.07651,0,1agrE.B99990026
-13578.91699,-13249.67578,-1.54789,100.0,531.77429,0,1agrE.B99990027
-13845.2666,-13757.99219,-1.69526,100.0,481.93878,0,1agrE.B99990028
-13482.46777,-13170.78027,-1.49453,100.0,456.92978,0,1agrE.B99990029
-13747.55664,-13321.81348,-1.6412,100.0,467.71542,0,1agrE.B99990030
-13442.68555,-13054.6123,-1.47252,100.0,507.49017,0,1agrE.B99990031
-13621.58203,-13319.60938,-1.5715,100.0,459.84531,0,1agrE.B99990032
-13724.03711,-13401.09082,-1.62819,100.0,473.58182,0,1agrE.B99990033
-13607.64746,-13174.75391,-1.56379,100.0,491.17218,0,1agrE.B99990034
-13672.21973,-13198.18457,-1.59952,100.0,554.45099,0,1agrE.B99990035
-13582.69141,-13190.67969,-1.54998,100.0,462.75937,0,1agrE.B99990036
-13351.79785,-12919.9502,-1.42223,100.0,495.81326,0,1agrE.B99990037
-13563.27734,-13005.91309,-1.53924,100.0,466.72961,0,1agrE.B99990038
-13435.3125,-13028.98633,-1.46844,100.0,531.78632,0,1agrE.B99990039
-13499.79883,-12964.76367,-1.50412,100.0,483.29794,0,1agrE.B99990040
-13316.5752,-12646.84375,-1.40274,100.0,517.76917,0,1agrE.B99990041
-13471.06543,-12865.59766,-1.48822,100.0,544.46246,0,1agrE.B99990042
-13514.92383,-13016.52344,-1.51249,100.0,515.29944,0,1agrE.B99990043
-13705.6377,-13225.46777,-1.61801,100.0,488.58414,0,1agrE.B99990044
-13875.88184,-13578.97363,-1.7122,100.0,494.20813,0,1agrE.B99990045
-13582.48047,-13202.10352,-1.54987,100.0,489.11578,0,1agrE.B99990046
-13637.0752,-13287.47852,-1.58007,100.0,502.46756,0,1agrE.B99990047
-13416.30664,-13072.25977,-1.45792,100.0,510.39932,0,1agrE.B99990048
-13583.19922,-13100.55957,-1.55026,100.0,579.66675,0,1agrE.B99990049
-13847.50586,-13529.9082,-1.6965,100.0,471.68185,0,1agrE.B99990050
