DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-7018.16846,-4579.14209,2.5199,98.6,885.73053,2,1aly_.B99990001
-7279.70654,-5349.49951,2.39303,99.3,850.03906,1,1aly_.B99990002
-7345.05029,-5199.06934,2.36133,99.3,805.31647,1,1aly_.B99990003
-7305.17871,-4752.45508,2.38067,97.2,985.50397,4,1aly_.B99990004
-7211.81299,-4820.4585,2.42596,97.9,850.97656,3,1aly_.B99990005
-7432.05811,-5270.3418,2.31913,98.6,758.28979,2,1aly_.B99990006
-7705.24756,-6110.44141,2.18661,99.3,820.33588,1,1aly_.B99990007
-7483.59033,-5081.72607,2.29413,99.3,846.32104,1,1aly_.B99990008
-7991.73242,-5950.2832,2.04764,98.6,786.7348,2,1aly_.B99990009
-7389.65283,-5404.14404,2.3397,100.0,821.45093,0,1aly_.B99990010
-7692.13379,-5744.74561,2.19297,99.3,791.11292,1,1aly_.B99990011
-7221.39795,-5044.33398,2.42131,99.3,810.32318,1,1aly_.B99990012
-7372.99902,-5203.42773,2.34778,98.6,873.61438,2,1aly_.B99990013
-7307.85107,-4927.08252,2.37938,98.6,904.04773,2,1aly_.B99990014
-7272.51953,-5395.86328,2.39652,99.3,861.04828,1,1aly_.B99990015
-7363.89062,-5285.71045,2.35219,100.0,809.96887,0,1aly_.B99990016
-7680.35693,-5612.72217,2.19868,97.9,855.79132,3,1aly_.B99990017
-7189.59619,-5015.63623,2.43674,98.6,804.086,2,1aly_.B99990018
-7348.45996,-5062.0752,2.35968,99.3,817.01025,1,1aly_.B99990019
-7352.5376,-4972.96191,2.3577,99.3,848.86279,1,1aly_.B99990020
-7383.7832,-5118.25586,2.34254,100.0,938.35034,0,1aly_.B99990021
-7351.29395,-4976.18115,2.3583,97.9,906.43658,3,1aly_.B99990022
-7629.60938,-5537.61182,2.2233,99.3,805.70087,1,1aly_.B99990023
-7281.86084,-4974.28711,2.39198,97.9,938.59998,3,1aly_.B99990024
-7492.14795,-5326.8208,2.28998,99.3,838.21191,1,1aly_.B99990025
-7542.39648,-5453.79395,2.2656,99.3,810.84698,1,1aly_.B99990026
-7322.50635,-5438.12354,2.37227,100.0,852.86804,0,1aly_.B99990027
-7488.25586,-5400.66797,2.29187,99.3,841.9422,1,1aly_.B99990028
-7384.80908,-5314.36572,2.34205,98.6,810.91461,2,1aly_.B99990029
-7630.05615,-5693.77051,2.22308,98.6,821.82587,2,1aly_.B99990030
-7294.75049,-5232.18359,2.38573,97.9,820.87354,3,1aly_.B99990031
-7331.37695,-5260.56592,2.36797,98.6,792.54163,2,1aly_.B99990032
-7474.59668,-5193.2876,2.29849,98.6,862.30096,2,1aly_.B99990033
-7324.63916,-5339.50098,2.37123,98.6,839.55725,2,1aly_.B99990034
-7430.12939,-5527.80225,2.32006,97.9,900.36157,3,1aly_.B99990035
-7476.16895,-5598.45801,2.29773,98.6,838.99805,2,1aly_.B99990036
-7280.97852,-5238.25195,2.39241,98.6,813.59576,2,1aly_.B99990037
-7084.70361,-4861.77295,2.48762,97.9,815.98181,3,1aly_.B99990038
-7513.51807,-5497.42334,2.27961,97.9,799.95123,3,1aly_.B99990039
-7516.45557,-5600.89893,2.27819,99.3,759.94537,1,1aly_.B99990040
-7238.51123,-4926.30957,2.41301,97.2,902.34363,4,1aly_.B99990041
-7309.57617,-5112.09668,2.37854,100.0,893.77148,0,1aly_.B99990042
-7369.81055,-5522.70312,2.34932,99.3,846.62634,1,1aly_.B99990043
-7459.87939,-5526.14795,2.30563,97.2,821.81024,4,1aly_.B99990044
-7290.18018,-5327.80029,2.38795,98.6,839.81104,2,1aly_.B99990045
-7480.66602,-5406.10254,2.29555,99.3,818.71307,1,1aly_.B99990046
-7344.5708,-5189.71143,2.36157,98.6,901.78149,2,1aly_.B99990047
-7422.74756,-5539.76758,2.32364,99.3,801.79413,1,1aly_.B99990048
-7198.93018,-4901.87646,2.43221,100.0,805.26025,0,1aly_.B99990049
-7339.98828,-5162.6084,2.36379,97.2,866.77972,4,1aly_.B99990050
