DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-12862.41699,-10744.62695,1.57066,97.8,898.3111,4,1atzA.B99990001
-12611.88184,-10306.25195,1.66709,98.4,957.07239,3,1atzA.B99990002
-12795.7666,-9970.73438,1.59631,98.4,951.96863,3,1atzA.B99990003
-12775.48828,-10266.72852,1.60412,98.4,1006.24188,3,1atzA.B99990004
-13036.5957,-10766.09766,1.50362,97.8,871.20044,4,1atzA.B99990005
-12661.00781,-9950.66211,1.64818,97.8,933.00891,4,1atzA.B99990006
-12722.78516,-10182.1377,1.62441,97.8,967.33838,4,1atzA.B99990007
-12639.63867,-10300.52832,1.65641,98.4,883.40369,3,1atzA.B99990008
-12913.98633,-11019.99512,1.55081,98.4,957.49188,3,1atzA.B99990009
-12951.17578,-11289.12598,1.5365,98.4,895.52551,3,1atzA.B99990010
-12487.53027,-9893.50195,1.71495,96.7,972.62891,6,1atzA.B99990011
-12869.7832,-10164.37891,1.56783,97.8,883.16339,4,1atzA.B99990012
-13223.21094,-11330.16113,1.43179,97.8,860.41559,4,1atzA.B99990013
-12900.53516,-10789.6709,1.55599,97.8,848.12616,4,1atzA.B99990014
-13073.17383,-10787.30469,1.48954,97.8,900.30066,4,1atzA.B99990015
-12798.07129,-10678.20703,1.59543,98.4,858.58826,3,1atzA.B99990016
-13132.28711,-11251.59766,1.46679,98.4,887.9397,3,1atzA.B99990017
-12508.7998,-9672.55371,1.70677,97.8,938.90857,4,1atzA.B99990018
-12750.18555,-10218.91895,1.61386,98.4,926.74524,3,1atzA.B99990019
-12785.68066,-10351.48828,1.6002,97.8,788.47394,4,1atzA.B99990020
-13086.22949,-10728.01953,1.48452,97.8,892.73907,4,1atzA.B99990021
-13003.41699,-10654.50391,1.51639,97.8,953.55432,4,1atzA.B99990022
-12637.17969,-10023.16602,1.65735,96.7,949.01379,6,1atzA.B99990023
-13339.13086,-11649.71973,1.38717,97.8,838.04309,4,1atzA.B99990024
-12819.27637,-10428.68359,1.58727,97.8,868.39691,4,1atzA.B99990025
-13184.28027,-11160.46191,1.44678,97.8,830.18835,4,1atzA.B99990026
-12839.08984,-10956.98047,1.57964,98.4,817.01843,3,1atzA.B99990027
-13025.62695,-10812.17773,1.50784,96.2,1092.61609,7,1atzA.B99990028
-12998.82715,-11000.6748,1.51816,97.8,962.59479,4,1atzA.B99990029
-12937.90234,-10990.66699,1.54161,97.8,912.99768,4,1atzA.B99990030
-12610.86621,-10330.00195,1.66748,98.4,940.91296,3,1atzA.B99990031
-12971.05176,-10918.07031,1.52885,98.4,844.88446,3,1atzA.B99990032
-13140.91895,-11149.28027,1.46347,98.4,978.43591,3,1atzA.B99990033
-12828.09277,-10587.65527,1.58387,97.8,895.58215,4,1atzA.B99990034
-12671.82422,-10559.30566,1.64402,97.8,859.34808,4,1atzA.B99990035
-12808.1543,-11003.50391,1.59155,98.4,945.28259,3,1atzA.B99990036
-12695.7002,-10211.65137,1.63483,98.4,944.19452,3,1atzA.B99990037
-12670.28223,-10361.61523,1.64461,97.8,883.10693,4,1atzA.B99990038
-12603.17676,-10470.91016,1.67044,97.8,895.34924,4,1atzA.B99990039
-12951.83008,-11047.83984,1.53625,97.8,890.49072,4,1atzA.B99990040
-12882.56641,-10708.25781,1.56291,98.4,927.4317,3,1atzA.B99990041
-12908.1377,-10778.15332,1.55306,98.4,914.86768,3,1atzA.B99990042
-12463.86914,-9922.84277,1.72406,98.4,1065.08447,3,1atzA.B99990043
-12475.93066,-10055.81641,1.71942,98.9,1033.57434,2,1atzA.B99990044
-12532.4248,-10315.87891,1.69767,98.4,926.58514,3,1atzA.B99990045
-12572.15234,-10184.48438,1.68238,97.8,902.0097,4,1atzA.B99990046
-12440.33203,-9925.59961,1.73312,97.8,940.20288,4,1atzA.B99990047
-12739.29199,-10471.55371,1.61805,98.4,977.14508,3,1atzA.B99990048
-12966.32715,-10693.83691,1.53067,97.8,911.05725,4,1atzA.B99990049
-12402.01465,-9869.74121,1.74787,98.9,914.80243,2,1atzA.B99990050
