DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-99750.17969,-87115.41406,-1.01296,98.0,7211.60205,16,1a8i_.B99990001
-100117.95312,-87415.39844,-1.04504,97.9,6915.7373,17,1a8i_.B99990002
-99918.46094,-86796.55469,-1.02764,97.9,7074.88037,17,1a8i_.B99990003
-99670.92188,-87071.85938,-1.00605,97.8,7124.34277,18,1a8i_.B99990004
-99771.23438,-87151.28125,-1.0148,97.8,7155.32373,18,1a8i_.B99990005
-99984.45312,-87438.44531,-1.03339,97.8,7230.2417,18,1a8i_.B99990006
-100054.99219,-87365.89062,-1.03955,97.8,6997.40967,18,1a8i_.B99990007
-100031.25,-87066.79688,-1.03748,97.8,7006.54492,18,1a8i_.B99990008
-99601.42188,-86726.05469,-0.99999,97.5,7082.4668,20,1a8i_.B99990009
-99743.76562,-86811.08594,-1.0124,97.8,7089.55664,18,1a8i_.B99990010
-99967.97656,-87110.875,-1.03196,97.8,6947.07129,18,1a8i_.B99990011
-100017.14844,-87373.95312,-1.03625,97.5,7049.02539,20,1a8i_.B99990012
-100342.34375,-87920.73438,-1.06461,97.7,6943.09473,19,1a8i_.B99990013
-100018.99219,-87439.23438,-1.03641,97.7,7122.46631,19,1a8i_.B99990014
-100164.25,-88144.89844,-1.04908,97.8,7040.57227,18,1a8i_.B99990015
-100131.91406,-87522.20312,-1.04626,98.0,7102.34473,16,1a8i_.B99990016
-99610.69531,-86323.97656,-1.0008,97.8,7221.45605,18,1a8i_.B99990017
-100060.01562,-87755.25781,-1.03998,98.0,7100.94531,16,1a8i_.B99990018
-99735.35156,-86479.03125,-1.01167,97.4,7538.98291,21,1a8i_.B99990019
-99960.64062,-87000.42188,-1.03132,97.8,7270.16699,18,1a8i_.B99990020
-99574.17969,-86492.95312,-0.99761,97.4,7077.64502,21,1a8i_.B99990021
-99907.46094,-87217.72656,-1.02668,97.8,7072.69727,18,1a8i_.B99990022
-99790.26562,-86331.05469,-1.01646,97.7,7200.39502,19,1a8i_.B99990023
-99888.8125,-86641.33594,-1.02505,97.8,6984.09766,18,1a8i_.B99990024
-99541.03906,-86488.70312,-0.99472,97.4,7272.98242,21,1a8i_.B99990025
-99452.33594,-86292.85938,-0.98698,97.5,7186.80859,20,1a8i_.B99990026
-99668.19531,-86957.82031,-1.00581,97.8,7251.60547,18,1a8i_.B99990027
-99187.94531,-85728.64844,-0.96392,97.4,7938.18115,21,1a8i_.B99990028
-99928.30469,-86868.32031,-1.0285,97.4,7168.09717,21,1a8i_.B99990029
-100045.53125,-87608.42969,-1.03872,97.9,7015.46387,17,1a8i_.B99990030
-100053.8125,-87227.53906,-1.03944,97.8,6998.76758,18,1a8i_.B99990031
-99802.44531,-86701.32031,-1.01752,97.4,6977.98145,21,1a8i_.B99990032
-100017.92969,-87323.57031,-1.03631,97.9,7096.66016,17,1a8i_.B99990033
-99847.88281,-86970.34375,-1.02148,97.9,7034.31885,17,1a8i_.B99990034
-99707.39844,-87372.99219,-1.00923,97.8,6995.11279,18,1a8i_.B99990035
-100100.75781,-88049.78906,-1.04354,97.9,6961.3833,17,1a8i_.B99990036
-99236.6875,-85653.03906,-0.96818,97.7,7427.1792,19,1a8i_.B99990037
-99744.99219,-87083.40625,-1.01251,97.5,6867.71582,20,1a8i_.B99990038
-99890.64062,-87114.32812,-1.02521,97.9,7103.19141,17,1a8i_.B99990039
-99657.32812,-86646.51562,-1.00486,97.9,7017.13672,17,1a8i_.B99990040
-99695.10156,-87243.64062,-1.00816,97.7,7206.24854,19,1a8i_.B99990041
-100174.89062,-87566.78125,-1.05,97.8,7006.0,18,1a8i_.B99990042
-99616.76562,-86437.42969,-1.00133,97.4,7074.43018,21,1a8i_.B99990043
-99569.89062,-86366.51562,-0.99724,97.3,7295.63867,22,1a8i_.B99990044
-99675.34375,-86608.89062,-1.00643,97.7,7181.60742,19,1a8i_.B99990045
-99821.16406,-86513.39062,-1.01915,97.8,7227.57227,18,1a8i_.B99990046
-100290.30469,-87985.75,-1.06007,97.9,7282.74561,17,1a8i_.B99990047
-100086.76562,-87729.375,-1.04232,97.8,6903.06934,18,1a8i_.B99990048
-99753.17969,-87278.92969,-1.01322,97.8,7170.94922,18,1a8i_.B99990049
-99529.46875,-86369.01562,-0.99371,97.7,7281.8252,19,1a8i_.B99990050
