DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-21247.06641,-19664.22656,-1.73855,98.2,645.8764,3,1au1A.B99990001
-20952.72656,-18916.31055,-1.61298,99.4,715.75696,1,1au1A.B99990002
-21079.49609,-19123.32422,-1.66706,100.0,737.68774,0,1au1A.B99990003
-21027.92969,-18615.55273,-1.64506,98.8,767.55768,2,1au1A.B99990004
-21178.5,-19519.26367,-1.7093,98.8,694.61603,2,1au1A.B99990005
-21122.94141,-19308.71484,-1.6856,99.4,670.37506,1,1au1A.B99990006
-20799.16797,-18616.36914,-1.54746,98.2,786.25989,3,1au1A.B99990007
-21281.22852,-19609.45312,-1.75313,98.8,684.73059,2,1au1A.B99990008
-21182.57617,-19067.53906,-1.71104,99.4,786.63831,1,1au1A.B99990009
-20928.07422,-19108.43359,-1.60246,98.8,708.2334,2,1au1A.B99990010
-21042.4707,-19515.85352,-1.65127,99.4,731.71564,1,1au1A.B99990011
-20923.90234,-18882.66016,-1.60068,99.4,695.32245,1,1au1A.B99990012
-20939.0957,-18825.65625,-1.60716,99.4,701.83386,1,1au1A.B99990013
-21307.02734,-19290.70312,-1.76414,99.4,745.04694,1,1au1A.B99990014
-20947.52539,-19192.22852,-1.61076,98.2,723.58813,3,1au1A.B99990015
-20958.86523,-18216.32422,-1.6156,99.4,859.703,1,1au1A.B99990016
-21183.62695,-19594.76562,-1.71149,100.0,700.25891,0,1au1A.B99990017
-21302.09961,-20009.79102,-1.76203,98.8,715.67322,2,1au1A.B99990018
-21097.21289,-19323.99609,-1.67462,99.4,694.64087,1,1au1A.B99990019
-20521.20703,-17974.02344,-1.42888,99.4,987.07202,1,1au1A.B99990020
-21076.125,-19135.40625,-1.66562,100.0,714.85156,0,1au1A.B99990021
-20732.6543,-18160.42773,-1.51909,99.4,821.54584,1,1au1A.B99990022
-21115.13477,-18638.20508,-1.68227,98.2,772.79138,3,1au1A.B99990023
-21167.7832,-19475.70703,-1.70473,98.8,746.37164,2,1au1A.B99990024
-21205.40625,-19588.86133,-1.72078,98.2,720.83392,3,1au1A.B99990025
-21070.06055,-19151.86914,-1.66304,99.4,736.34326,1,1au1A.B99990026
-20925.56641,-18611.26562,-1.60139,98.2,832.34674,3,1au1A.B99990027
-21284.26953,-19330.69336,-1.75443,100.0,717.32208,0,1au1A.B99990028
-21088.71875,-18628.26758,-1.671,99.4,761.55969,1,1au1A.B99990029
-20782.51953,-18410.97461,-1.54036,99.4,671.62897,1,1au1A.B99990030
-20976.23242,-19183.19336,-1.62301,100.0,711.73688,0,1au1A.B99990031
-21206.25977,-19518.0625,-1.72114,100.0,720.50677,0,1au1A.B99990032
-21205.88477,-19356.89648,-1.72098,99.4,738.2464,1,1au1A.B99990033
-21301.56641,-19875.73828,-1.76181,98.2,710.96027,3,1au1A.B99990034
-21088.38867,-19209.80273,-1.67086,98.2,729.79657,3,1au1A.B99990035
-20874.13086,-18643.37891,-1.57945,99.4,764.68988,1,1au1A.B99990036
-20948.13672,-18713.625,-1.61102,99.4,834.02057,1,1au1A.B99990037
-21008.26953,-19205.64453,-1.63667,98.8,819.33984,2,1au1A.B99990038
-21045.08789,-19341.13672,-1.65238,99.4,749.61096,1,1au1A.B99990039
-21160.26953,-19307.41211,-1.70152,98.2,694.29803,3,1au1A.B99990040
-21095.38477,-19240.55469,-1.67384,98.2,748.32556,3,1au1A.B99990041
-20859.52734,-18769.05859,-1.57322,99.4,743.22174,1,1au1A.B99990042
-21272.00586,-19922.35938,-1.74919,98.2,765.58936,3,1au1A.B99990043
-21189.42578,-19376.98633,-1.71396,99.4,765.89392,1,1au1A.B99990044
-20905.69141,-19001.58008,-1.59291,98.8,725.09094,2,1au1A.B99990045
-21152.30273,-19426.50781,-1.69812,98.8,706.29828,2,1au1A.B99990046
-21194.42773,-19568.70898,-1.7161,98.8,714.32074,2,1au1A.B99990047
-21167.4043,-19544.57031,-1.70457,100.0,703.06354,0,1au1A.B99990048
-21180.95898,-19259.69531,-1.71035,99.4,691.65179,1,1au1A.B99990049
-21031.28125,-18741.22266,-1.64649,99.4,753.9126,1,1au1A.B99990050
