DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-98828.47656,-88676.76562,-0.93257,98.5,4414.40039,12,1a8i_.B99990001
-98936.96875,-88434.96875,-0.94203,98.4,4561.47559,13,1a8i_.B99990002
-99056.08594,-88770.03125,-0.95242,98.5,4479.53662,12,1a8i_.B99990003
-99049.65625,-89005.65625,-0.95186,98.5,4615.55371,12,1a8i_.B99990004
-98656.92969,-87840.14062,-0.91761,98.1,4476.49414,15,1a8i_.B99990005
-98451.39062,-87899.71875,-0.89968,98.1,4739.03662,15,1a8i_.B99990006
-98082.23438,-87127.19531,-0.86749,98.5,4723.95703,12,1a8i_.B99990007
-98535.90625,-86883.75781,-0.90705,98.3,4695.19141,14,1a8i_.B99990008
-98822.53125,-87632.51562,-0.93205,98.5,4434.00732,12,1a8i_.B99990009
-99014.67188,-88345.49219,-0.94881,98.1,4713.61426,15,1a8i_.B99990010
-98882.44531,-88129.0625,-0.93728,98.5,4587.08545,12,1a8i_.B99990011
-99410.90625,-88827.02344,-0.98337,98.5,4583.23535,12,1a8i_.B99990012
-98819.79688,-88260.52344,-0.93181,98.4,4692.31543,13,1a8i_.B99990013
-99061.28125,-88548.70312,-0.95288,98.1,4599.88672,15,1a8i_.B99990014
-98814.30469,-87687.0625,-0.93134,98.3,4697.18555,14,1a8i_.B99990015
-99154.63281,-89558.17969,-0.96102,98.8,4555.25488,10,1a8i_.B99990016
-98984.4375,-88698.86719,-0.94617,98.8,4669.55811,10,1a8i_.B99990017
-99311.65625,-89498.89844,-0.97471,98.6,4420.06592,11,1a8i_.B99990018
-98264.04688,-86566.97656,-0.88334,98.4,4619.16016,13,1a8i_.B99990019
-99349.71875,-89132.59375,-0.97803,98.3,4675.38037,14,1a8i_.B99990020
-99119.14844,-88335.01562,-0.95792,98.3,4454.74023,14,1a8i_.B99990021
-99010.76562,-88405.26562,-0.94847,98.3,4680.73926,14,1a8i_.B99990022
-99233.22656,-89261.95312,-0.96787,98.5,4385.86865,12,1a8i_.B99990023
-98249.46094,-87879.80469,-0.88207,98.3,4589.11279,14,1a8i_.B99990024
-99003.125,-88726.8125,-0.9478,98.4,4646.34277,13,1a8i_.B99990025
-98725.47656,-87859.60938,-0.92359,98.5,4554.51611,12,1a8i_.B99990026
-98974.35156,-88165.33594,-0.94529,98.4,4491.31641,13,1a8i_.B99990027
-98335.41406,-87122.89062,-0.88957,98.3,4681.06348,14,1a8i_.B99990028
-98330.69531,-87566.125,-0.88916,98.6,4853.43799,11,1a8i_.B99990029
-99275.78906,-89658.24219,-0.97159,98.6,4447.8833,11,1a8i_.B99990030
-98639.96875,-87661.41406,-0.91613,98.8,4652.20703,10,1a8i_.B99990031
-99197.04688,-88674.26562,-0.96472,98.6,4583.44189,11,1a8i_.B99990032
-98511.79688,-88145.15625,-0.90495,98.4,4489.81885,13,1a8i_.B99990033
-99173.70312,-88840.36719,-0.96268,98.8,4430.13232,10,1a8i_.B99990034
-98204.36719,-87437.26562,-0.87814,98.3,5159.0752,14,1a8i_.B99990035
-99117.22656,-89613.14844,-0.95776,98.6,4709.59033,11,1a8i_.B99990036
-99344.3125,-89324.36719,-0.97756,98.8,4633.57227,10,1a8i_.B99990037
-98975.03906,-88485.55469,-0.94535,98.3,4496.13818,14,1a8i_.B99990038
-98866.45312,-89534.16406,-0.93588,98.3,4569.8208,14,1a8i_.B99990039
-98964.55469,-88885.75781,-0.94444,98.5,4526.01367,12,1a8i_.B99990040
-98494.875,-87994.92188,-0.90348,98.4,4526.28223,13,1a8i_.B99990041
-98867.10938,-87988.29688,-0.93594,98.8,4578.93359,10,1a8i_.B99990042
-99629.19531,-89614.96094,-1.00241,98.5,4539.21436,12,1a8i_.B99990043
-98902.125,-88510.35938,-0.939,98.0,4483.68359,16,1a8i_.B99990044
-98440.82812,-87507.45312,-0.89876,98.4,4596.50098,13,1a8i_.B99990045
-99445.30469,-89184.86719,-0.98637,99.0,4645.55176,8,1a8i_.B99990046
-99509.51562,-89501.02344,-0.99197,98.4,4501.11865,13,1a8i_.B99990047
-98225.58594,-87647.96875,-0.87999,98.4,5076.98682,13,1a8i_.B99990048
-99159.96094,-88700.14844,-0.96148,98.1,4661.59912,15,1a8i_.B99990049
-99139.9375,-89628.71875,-0.95974,98.3,4792.48486,14,1a8i_.B99990050
