DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-8803.12598,-7898.05615,1.3993,98.6,681.57312,2,1at0_.B99990001
-9227.86328,-8521.95703,1.18747,97.9,610.95306,3,1at0_.B99990002
-8776.36719,-8005.45215,1.41265,97.1,662.56317,4,1at0_.B99990003
-9155.40137,-8170.31885,1.22361,98.6,609.3493,2,1at0_.B99990004
-8847.65039,-8053.01807,1.37709,97.9,637.25391,3,1at0_.B99990005
-8844.91504,-7853.17676,1.37846,96.4,724.78229,5,1at0_.B99990006
-9096.81152,-8299.4043,1.25283,97.1,689.664,4,1at0_.B99990007
-9142.79883,-8411.92383,1.22989,97.1,644.77161,4,1at0_.B99990008
-9230.1875,-8311.76855,1.18631,98.6,625.07599,2,1at0_.B99990009
-8796.77441,-7480.60645,1.40247,98.6,666.67035,2,1at0_.B99990010
-9043.54102,-8272.86719,1.2794,97.9,663.51398,3,1at0_.B99990011
-8688.09961,-7953.57178,1.45667,98.6,656.76508,2,1at0_.B99990012
-8890.30078,-8154.65674,1.35582,98.6,622.18195,2,1at0_.B99990013
-9140.86914,-8094.62109,1.23085,97.1,680.65466,4,1at0_.B99990014
-8704.27344,-7784.229,1.4486,97.9,665.80212,3,1at0_.B99990015
-9142.34473,-7738.15967,1.23012,98.6,624.07117,2,1at0_.B99990016
-8957.39062,-7693.22852,1.32236,99.3,633.39636,1,1at0_.B99990017
-9017.42773,-8274.99609,1.29242,97.9,732.82294,3,1at0_.B99990018
-8897.76953,-7647.53027,1.3521,98.6,646.16443,2,1at0_.B99990019
-9060.02734,-8020.05566,1.27117,97.9,734.13898,3,1at0_.B99990020
-8827.87207,-7685.94873,1.38696,97.9,878.27905,3,1at0_.B99990021
-8814.19141,-7493.50635,1.39378,99.3,709.40344,1,1at0_.B99990022
-8692.19629,-7897.89502,1.45463,97.9,633.79034,3,1at0_.B99990023
-8794.89062,-8225.69336,1.40341,95.7,635.62225,6,1at0_.B99990024
-8442.92188,-7045.9585,1.57895,98.6,714.88263,2,1at0_.B99990025
-8770.40918,-8080.09082,1.41562,97.9,613.45081,3,1at0_.B99990026
-8801.60742,-7911.75928,1.40006,99.3,665.70569,1,1at0_.B99990027
-8887.53906,-7929.7251,1.3572,98.6,644.53387,2,1at0_.B99990028
-8833.9209,-8051.49951,1.38394,97.9,653.25531,3,1at0_.B99990029
-8843.55176,-7658.97998,1.37914,97.9,640.83209,3,1at0_.B99990030
-9007.7207,-7874.48486,1.29726,97.9,674.80127,3,1at0_.B99990031
-8990.20898,-8202.70801,1.30599,97.9,684.41913,3,1at0_.B99990032
-8802.24121,-7841.73242,1.39974,98.6,675.65326,2,1at0_.B99990033
-8807.59473,-7912.69873,1.39707,97.1,674.03229,4,1at0_.B99990034
-8952.20703,-8328.21387,1.32495,97.9,681.07703,3,1at0_.B99990035
-8825.69336,-7629.42188,1.38805,98.6,734.19604,2,1at0_.B99990036
-8841.44238,-7834.15967,1.38019,98.6,669.46906,2,1at0_.B99990037
-9261.53809,-8130.04834,1.17067,97.9,688.3349,3,1at0_.B99990038
-8874.23047,-7992.96875,1.36384,98.6,597.55695,2,1at0_.B99990039
-8890.43652,-8112.47021,1.35576,99.3,744.25073,1,1at0_.B99990040
-8847.62402,-7964.80322,1.37711,97.1,682.68427,4,1at0_.B99990041
-9003.29395,-8055.80615,1.29947,97.9,738.39789,3,1at0_.B99990042
-9029.7334,-8060.27002,1.28628,97.9,651.57867,3,1at0_.B99990043
-8568.90332,-7297.71191,1.51612,97.9,707.43689,3,1at0_.B99990044
-8780.53613,-7706.24951,1.41057,97.9,780.7605,3,1at0_.B99990045
-8974.65332,-8129.19238,1.31375,98.6,699.47156,2,1at0_.B99990046
-8816.06641,-7636.43408,1.39285,97.9,767.15344,3,1at0_.B99990047
-8868.56445,-8124.26465,1.36666,97.9,628.82623,3,1at0_.B99990048
-8808.09668,-7710.96631,1.39682,97.9,675.08606,3,1at0_.B99990049
-8585.2998,-7417.55322,1.50794,98.6,673.19324,2,1at0_.B99990050
