DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-2528.3064,-1529.07861,0.56904,97.8,358.72217,1,1agg_.B99990001
-2592.40088,-1632.82178,0.47447,97.8,323.27835,1,1agg_.B99990002
-2624.71851,-1625.78027,0.42679,97.8,362.80087,1,1agg_.B99990003
-2663.01538,-1816.69641,0.37029,97.8,367.09244,1,1agg_.B99990004
-2584.29272,-1751.48474,0.48644,97.8,335.97287,1,1agg_.B99990005
-2505.73779,-1487.8822,0.60234,97.8,346.71271,1,1agg_.B99990006
-2540.0127,-1452.72046,0.55177,97.8,356.99902,1,1agg_.B99990007
-2537.01587,-1695.31238,0.55619,97.8,334.66928,1,1agg_.B99990008
-2521.13672,-1474.8175,0.57962,97.8,367.24982,1,1agg_.B99990009
-2499.02905,-1565.10449,0.61224,97.8,335.00861,1,1agg_.B99990010
-2533.7124,-1586.64075,0.56107,97.8,347.40536,1,1agg_.B99990011
-2647.34106,-1792.18262,0.39341,97.8,344.74722,1,1agg_.B99990012
-2584.25415,-1546.74719,0.48649,95.7,399.43149,2,1agg_.B99990013
-2550.70483,-1515.323,0.536,97.8,385.89111,1,1agg_.B99990014
-2499.19092,-1513.15002,0.612,97.8,347.05386,1,1agg_.B99990015
-2547.74878,-1600.9032,0.54036,97.8,367.53683,1,1agg_.B99990016
-2458.31396,-1242.17078,0.67231,95.7,369.6286,2,1agg_.B99990017
-2609.77271,-1758.61133,0.44884,97.8,331.25723,1,1agg_.B99990018
-2656.53687,-1779.15369,0.37985,97.8,339.9227,1,1agg_.B99990019
-2590.74072,-1677.59399,0.47692,97.8,373.11865,1,1agg_.B99990020
-2593.81982,-1759.04761,0.47238,97.8,343.4512,1,1agg_.B99990021
-2612.02759,-1764.49683,0.44552,97.8,354.49997,1,1agg_.B99990022
-2586.92822,-1498.72913,0.48255,95.7,372.14719,2,1agg_.B99990023
-2598.6438,-1538.37646,0.46526,97.8,352.87485,1,1agg_.B99990024
-2607.5293,-1702.46582,0.45215,97.8,335.8996,1,1agg_.B99990025
-2640.01587,-1697.36743,0.40422,97.8,384.15567,1,1agg_.B99990026
-2592.69922,-1551.36572,0.47403,97.8,379.74921,1,1agg_.B99990027
-2614.20679,-1801.12036,0.4423,97.8,338.17087,1,1agg_.B99990028
-2546.60474,-1579.07385,0.54204,97.8,348.64886,1,1agg_.B99990029
-2609.9978,-1812.26746,0.44851,97.8,385.22711,1,1agg_.B99990030
-2570.88135,-1686.86377,0.50623,97.8,357.88425,1,1agg_.B99990031
-2618.10645,-1758.9397,0.43655,97.8,349.66946,1,1agg_.B99990032
-2661.91113,-1867.604,0.37192,97.8,335.10782,1,1agg_.B99990033
-2607.84302,-1728.49646,0.45169,97.8,348.49063,1,1agg_.B99990034
-2531.15381,-1612.13818,0.56484,97.8,347.14264,1,1agg_.B99990035
-2628.76709,-1826.82495,0.42082,97.8,374.12662,1,1agg_.B99990036
-2684.2146,-1921.23376,0.33901,97.8,357.03552,1,1agg_.B99990037
-2639.22119,-1656.36084,0.40539,97.8,366.91608,1,1agg_.B99990038
-2656.2666,-1724.59766,0.38024,97.8,365.89841,1,1agg_.B99990039
-2561.96313,-1540.78503,0.51938,97.8,367.07391,1,1agg_.B99990040
-2589.17725,-1663.91138,0.47923,97.8,361.39636,1,1agg_.B99990041
-2602.31641,-1749.33752,0.45984,97.8,381.38629,1,1agg_.B99990042
-2627.40991,-1676.64282,0.42282,97.8,352.40335,1,1agg_.B99990043
-2641.07959,-1653.17065,0.40265,97.8,352.59702,1,1agg_.B99990044
-2596.05762,-1400.01526,0.46908,95.7,380.88916,2,1agg_.B99990045
-2554.64819,-1649.43225,0.53018,97.8,329.19232,1,1agg_.B99990046
-2618.79712,-1773.76416,0.43553,97.8,362.66632,1,1agg_.B99990047
-2598.05518,-1543.27686,0.46613,97.8,371.45023,1,1agg_.B99990048
-2655.94238,-1835.52454,0.38072,97.8,353.61734,1,1agg_.B99990049
-2669.5459,-1762.76282,0.36065,100.0,377.5368,0,1agg_.B99990050
