DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-10862.89648,-8269.96484,0.70578,97.9,670.24207,3,1a3aA.B99990001
-10976.02051,-8406.28906,0.65053,97.2,786.74481,4,1a3aA.B99990002
-11006.02051,-8987.82617,0.63587,98.6,694.27869,2,1a3aA.B99990003
-10896.11914,-8781.75879,0.68955,97.9,646.61353,3,1a3aA.B99990004
-10593.83496,-8195.87695,0.8372,97.2,643.52148,4,1a3aA.B99990005
-10980.18164,-8744.80762,0.64849,97.9,653.13965,3,1a3aA.B99990006
-10768.96094,-8261.82812,0.75166,97.9,712.20264,3,1a3aA.B99990007
-10871.5293,-8843.61523,0.70156,97.9,686.46631,3,1a3aA.B99990008
-10981.46289,-9176.51758,0.64787,98.6,622.55823,2,1a3aA.B99990009
-10978.9873,-8838.29688,0.64908,97.9,713.56653,3,1a3aA.B99990010
-10631.83105,-7862.87939,0.81864,96.5,874.78925,5,1a3aA.B99990011
-10967.78809,-8726.12988,0.65455,98.6,743.21588,2,1a3aA.B99990012
-11008.0,-9109.18848,0.63491,98.6,666.99548,2,1a3aA.B99990013
-10758.25391,-8133.46484,0.75689,97.9,633.47638,3,1a3aA.B99990014
-10651.41504,-8239.66309,0.80907,97.2,669.52905,4,1a3aA.B99990015
-10744.93457,-8579.23633,0.76339,97.2,697.84644,4,1a3aA.B99990016
-10787.25,-8511.99805,0.74273,97.9,713.24316,3,1a3aA.B99990017
-10983.58789,-8551.95117,0.64683,97.9,728.94476,3,1a3aA.B99990018
-10817.57422,-8402.44531,0.72792,97.9,652.63837,3,1a3aA.B99990019
-10739.76172,-8453.19434,0.76592,98.6,781.76813,2,1a3aA.B99990020
-10681.06055,-8594.22168,0.79459,97.9,678.90576,3,1a3aA.B99990021
-10811.55664,-8341.66504,0.73085,97.9,763.48187,3,1a3aA.B99990022
-10774.66504,-8410.26562,0.74887,97.9,782.41949,3,1a3aA.B99990023
-11066.90234,-9042.86816,0.60614,97.9,644.47443,3,1a3aA.B99990024
-10863.32715,-8507.75879,0.70557,99.3,768.1004,1,1a3aA.B99990025
-10881.375,-8332.25977,0.69675,100.0,684.58942,0,1a3aA.B99990026
-10807.40723,-8464.33398,0.73288,97.2,678.61597,4,1a3aA.B99990027
-10268.16211,-7576.57812,0.99626,99.3,760.98328,1,1a3aA.B99990028
-10858.04004,-8641.52441,0.70815,98.6,771.53137,2,1a3aA.B99990029
-10690.86816,-8066.7793,0.7898,96.5,773.2887,5,1a3aA.B99990030
-10949.33203,-9065.06641,0.66356,98.6,677.11768,2,1a3aA.B99990031
-10954.14258,-8914.1084,0.66121,97.9,625.32239,3,1a3aA.B99990032
-10888.68359,-8764.2002,0.69318,97.9,659.87311,3,1a3aA.B99990033
-10733.24023,-8603.25488,0.76911,97.9,620.26398,3,1a3aA.B99990034
-10798.69922,-8519.41699,0.73713,98.6,642.29382,2,1a3aA.B99990035
-10839.32812,-8643.64941,0.71729,99.3,703.11908,1,1a3aA.B99990036
-10678.49316,-8273.98926,0.79585,97.2,659.20367,4,1a3aA.B99990037
-10981.30078,-8884.45117,0.64795,97.2,671.05176,4,1a3aA.B99990038
-11000.99707,-8904.20898,0.63833,98.6,747.25818,2,1a3aA.B99990039
-10744.66699,-8340.93164,0.76353,97.9,724.47272,3,1a3aA.B99990040
-10713.26855,-8255.89355,0.77886,97.9,690.45007,3,1a3aA.B99990041
-11134.96484,-9211.57129,0.57289,96.5,721.10809,5,1a3aA.B99990042
-10849.16016,-8753.96875,0.71249,97.2,613.45966,4,1a3aA.B99990043
-10910.62598,-8381.54004,0.68247,97.2,624.50464,4,1a3aA.B99990044
-10640.81055,-7957.8833,0.81425,97.9,776.41736,3,1a3aA.B99990045
-10790.53125,-8520.69238,0.74112,99.3,807.43555,1,1a3aA.B99990046
-10762.32324,-8374.73535,0.7549,98.6,638.80023,2,1a3aA.B99990047
-10799.65234,-8934.41211,0.73667,97.2,677.32214,4,1a3aA.B99990048
-11088.43066,-9121.23633,0.59562,97.9,649.65533,3,1a3aA.B99990049
-10859.0752,-8611.63574,0.70765,97.9,780.94885,3,1a3aA.B99990050
