DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-13729.33594,-13186.65625,-1.93965,99.2,515.42456,1,1acf_.B99990001
-13678.14062,-13230.58008,-1.91065,97.6,536.82617,3,1acf_.B99990002
-13667.91895,-13069.71973,-1.90486,97.6,599.51825,3,1acf_.B99990003
-13707.33301,-13193.68066,-1.92719,99.2,529.76807,1,1acf_.B99990004
-13415.48926,-12680.66797,-1.76184,99.2,667.10724,1,1acf_.B99990005
-13382.50293,-12238.75781,-1.74315,99.2,636.69031,1,1acf_.B99990006
-13642.4043,-13087.7959,-1.8904,99.2,546.73932,1,1acf_.B99990007
-13563.54199,-12634.75293,-1.84572,97.6,577.91699,3,1acf_.B99990008
-13660.05273,-13027.77051,-1.9004,98.4,605.85193,2,1acf_.B99990009
-13665.47461,-12949.47949,-1.90347,99.2,571.22186,1,1acf_.B99990010
-13622.13086,-13063.88477,-1.87891,99.2,528.45496,1,1acf_.B99990011
-13607.37305,-12785.33203,-1.87055,98.4,587.91949,2,1acf_.B99990012
-13619.56738,-13068.2041,-1.87746,98.4,548.64056,2,1acf_.B99990013
-13640.70508,-12943.6582,-1.88944,99.2,553.81769,1,1acf_.B99990014
-13537.85059,-13083.22168,-1.83116,98.4,526.70776,2,1acf_.B99990015
-13594.10547,-12831.06641,-1.86304,99.2,542.47107,1,1acf_.B99990016
-13694.03223,-13198.92383,-1.91965,96.7,561.11133,4,1acf_.B99990017
-13716.87207,-13038.42285,-1.93259,97.6,671.59125,3,1acf_.B99990018
-13677.05566,-13128.28906,-1.91003,98.4,575.66663,2,1acf_.B99990019
-13557.19434,-12813.69043,-1.84212,98.4,545.87024,2,1acf_.B99990020
-13611.08008,-12927.73926,-1.87265,97.6,569.23956,3,1acf_.B99990021
-13607.34766,-12817.14746,-1.87054,98.4,526.22882,2,1acf_.B99990022
-13625.06738,-13025.49902,-1.88058,99.2,536.70917,1,1acf_.B99990023
-13502.66309,-12903.56641,-1.81123,99.2,569.84375,1,1acf_.B99990024
-13597.88184,-12770.95996,-1.86518,99.2,540.6994,1,1acf_.B99990025
-13713.72461,-13257.43262,-1.93081,97.6,632.68713,3,1acf_.B99990026
-13652.9873,-12966.36523,-1.8964,98.4,566.59271,2,1acf_.B99990027
-13623.75293,-13034.87793,-1.87983,99.2,520.76221,1,1acf_.B99990028
-13494.21094,-12532.45703,-1.80644,98.4,533.47137,2,1acf_.B99990029
-13598.41211,-12978.24121,-1.86548,97.6,582.41156,3,1acf_.B99990030
-13457.64941,-12642.19531,-1.78572,98.4,574.13806,2,1acf_.B99990031
-13651.06055,-13056.32227,-1.89531,98.4,519.54688,2,1acf_.B99990032
-13781.15234,-13159.67188,-1.96901,98.4,589.35974,2,1acf_.B99990033
-13621.08691,-12943.83008,-1.87832,99.2,541.01105,1,1acf_.B99990034
-13608.29395,-12907.95801,-1.87107,99.2,582.09723,1,1acf_.B99990035
-13624.69043,-13079.21582,-1.88036,99.2,526.30389,1,1acf_.B99990036
-13450.25293,-12807.05664,-1.78153,97.6,594.73669,3,1acf_.B99990037
-13733.52148,-13260.91992,-1.94203,98.4,536.8736,2,1acf_.B99990038
-13635.9375,-13091.24023,-1.88674,99.2,531.46893,1,1acf_.B99990039
-13447.75977,-12657.65234,-1.78012,99.2,530.89117,1,1acf_.B99990040
-13538.45605,-12811.09082,-1.83151,99.2,606.93237,1,1acf_.B99990041
-13569.91406,-12906.56934,-1.84933,99.2,521.43231,1,1acf_.B99990042
-13441.46875,-12685.21875,-1.77656,99.2,581.53149,1,1acf_.B99990043
-13541.27832,-12658.68945,-1.83311,97.6,625.26318,3,1acf_.B99990044
-13536.91797,-12794.93457,-1.83064,99.2,580.46423,1,1acf_.B99990045
-13475.16895,-12821.94922,-1.79565,99.2,524.98761,1,1acf_.B99990046
-13553.30762,-12947.8291,-1.83992,98.4,532.42615,2,1acf_.B99990047
-13591.34766,-13018.83984,-1.86147,99.2,624.16931,1,1acf_.B99990048
-13645.73145,-13183.42969,-1.89229,98.4,533.50806,2,1acf_.B99990049
-13704.84277,-12940.33301,-1.92578,96.7,598.2511,4,1acf_.B99990050
