DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-31814.73047,-28642.5293,-1.89461,100.0,1224.89172,0,1a8q_.B99990001
-31475.7168,-27971.71094,-1.80699,100.0,1268.22144,0,1a8q_.B99990002
-31844.12109,-28400.83594,-1.90221,100.0,1255.25525,0,1a8q_.B99990003
-31614.85156,-27977.21094,-1.84295,100.0,1311.19922,0,1a8q_.B99990004
-31437.69727,-28020.2207,-1.79716,100.0,1259.14124,0,1a8q_.B99990005
-31724.50195,-28235.89648,-1.87129,100.0,1312.29822,0,1a8q_.B99990006
-31342.28711,-27685.80273,-1.7725,100.0,1213.0824,0,1a8q_.B99990007
-31602.5293,-28120.71875,-1.83977,99.6,1280.40259,1,1a8q_.B99990008
-31688.07617,-28470.91602,-1.86188,100.0,1264.68848,0,1a8q_.B99990009
-31693.63867,-28584.27148,-1.86332,99.6,1252.47009,1,1a8q_.B99990010
-31356.66602,-27948.55273,-1.77622,100.0,1323.53345,0,1a8q_.B99990011
-31865.30469,-28768.30273,-1.90769,100.0,1284.04297,0,1a8q_.B99990012
-31641.39844,-28697.3418,-1.84981,100.0,1243.55383,0,1a8q_.B99990013
-31620.84766,-27957.40625,-1.8445,100.0,1270.31506,0,1a8q_.B99990014
-31704.43164,-28491.55859,-1.86611,100.0,1237.80884,0,1a8q_.B99990015
-31835.1582,-28325.83203,-1.89989,100.0,1299.97559,0,1a8q_.B99990016
-31538.70898,-27942.39648,-1.82327,100.0,1229.0033,0,1a8q_.B99990017
-31618.67188,-28216.29688,-1.84394,100.0,1298.22595,0,1a8q_.B99990018
-31471.99609,-27808.07617,-1.80603,100.0,1287.6759,0,1a8q_.B99990019
-31818.65039,-28428.03906,-1.89563,100.0,1242.62878,0,1a8q_.B99990020
-31343.19531,-28142.60938,-1.77274,100.0,1279.41016,0,1a8q_.B99990021
-31432.73242,-28050.76562,-1.79588,100.0,1236.37634,0,1a8q_.B99990022
-31582.2832,-28210.13281,-1.83453,100.0,1236.172,0,1a8q_.B99990023
-31533.13867,-28078.74609,-1.82183,100.0,1284.72852,0,1a8q_.B99990024
-31636.84766,-28527.13867,-1.84864,100.0,1313.24377,0,1a8q_.B99990025
-31753.30664,-28513.63867,-1.87874,100.0,1216.5824,0,1a8q_.B99990026
-31704.32617,-28574.73828,-1.86608,100.0,1260.46655,0,1a8q_.B99990027
-31332.75391,-27316.33008,-1.77004,100.0,1242.93909,0,1a8q_.B99990028
-31407.11523,-27684.36133,-1.78926,100.0,1250.25439,0,1a8q_.B99990029
-31617.19141,-28170.8125,-1.84356,100.0,1218.14307,0,1a8q_.B99990030
-31734.73047,-28267.07227,-1.87394,100.0,1282.96667,0,1a8q_.B99990031
-31353.13867,-27397.48828,-1.77531,99.6,1378.30115,1,1a8q_.B99990032
-31211.99609,-27669.91602,-1.73882,99.6,1334.85181,1,1a8q_.B99990033
-31699.23242,-28188.14453,-1.86476,100.0,1251.96899,0,1a8q_.B99990034
-31674.20898,-28001.72656,-1.85829,100.0,1253.04565,0,1a8q_.B99990035
-31530.90039,-28023.41211,-1.82125,100.0,1253.08435,0,1a8q_.B99990036
-31650.5332,-28794.0918,-1.85217,100.0,1275.03833,0,1a8q_.B99990037
-31424.4082,-28019.53711,-1.79373,100.0,1274.90955,0,1a8q_.B99990038
-31440.37109,-27966.25195,-1.79785,100.0,1234.14771,0,1a8q_.B99990039
-31629.66992,-28588.93555,-1.84678,100.0,1333.42078,0,1a8q_.B99990040
-31514.30469,-27845.52539,-1.81696,100.0,1336.31775,0,1a8q_.B99990041
-31628.32227,-28522.01953,-1.84643,100.0,1234.77588,0,1a8q_.B99990042
-31538.17773,-28020.33594,-1.82313,100.0,1335.37646,0,1a8q_.B99990043
-31559.75977,-28191.625,-1.82871,100.0,1269.31018,0,1a8q_.B99990044
-31538.20703,-28109.24414,-1.82314,100.0,1295.78015,0,1a8q_.B99990045
-31407.70898,-28023.56445,-1.78941,100.0,1240.21155,0,1a8q_.B99990046
-31590.86914,-28368.33984,-1.83675,100.0,1205.92102,0,1a8q_.B99990047
-31483.69727,-28239.58203,-1.80905,100.0,1420.70618,0,1a8q_.B99990048
-31350.01758,-27627.12305,-1.7745,100.0,1363.83398,0,1a8q_.B99990049
-31610.875,-28054.02148,-1.84192,100.0,1374.29199,0,1a8q_.B99990050
