DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-39579.85156,-37261.26953,-0.13412,99.5,2478.80347,2,1a0tP.B99990001
-39557.42969,-36850.15625,-0.13027,99.8,2324.41528,1,1a0tP.B99990002
-39096.76172,-35765.78516,-0.05128,99.8,2692.37988,1,1a0tP.B99990003
-39559.99219,-36990.21875,-0.13071,99.8,2280.61353,1,1a0tP.B99990004
-39235.05078,-36103.58594,-0.07499,100.0,2518.79004,0,1a0tP.B99990005
-39365.64453,-36261.83203,-0.09739,99.5,2520.65503,2,1a0tP.B99990006
-39600.30078,-37078.05859,-0.13763,100.0,2357.88501,0,1a0tP.B99990007
-39502.21875,-36783.98047,-0.12081,99.8,2366.05493,1,1a0tP.B99990008
-39595.75391,-37130.47656,-0.13685,99.5,2265.01221,2,1a0tP.B99990009
-39266.75781,-36258.11719,-0.08043,100.0,2328.49536,0,1a0tP.B99990010
-39417.00391,-36295.95312,-0.10619,99.8,2444.08154,1,1a0tP.B99990011
-39755.67969,-37257.21875,-0.16427,100.0,2367.86401,0,1a0tP.B99990012
-39394.20703,-36494.71484,-0.10229,99.8,2295.44116,1,1a0tP.B99990013
-39381.27734,-36459.91797,-0.10007,99.8,2384.68555,1,1a0tP.B99990014
-39379.5,-36821.21484,-0.09976,100.0,2400.56543,0,1a0tP.B99990015
-39601.62891,-37019.78516,-0.13785,99.8,2380.41187,1,1a0tP.B99990016
-39478.54297,-36558.12891,-0.11675,99.8,2470.50879,1,1a0tP.B99990017
-39417.91797,-36362.09375,-0.10635,99.3,2491.00415,3,1a0tP.B99990018
-39552.94141,-37113.81641,-0.12951,100.0,2353.8999,0,1a0tP.B99990019
-39518.06641,-36557.38281,-0.12352,99.8,2339.35278,1,1a0tP.B99990020
-39450.06641,-36665.17188,-0.11186,99.8,2501.81567,1,1a0tP.B99990021
-39371.12109,-36742.44922,-0.09833,100.0,2389.74707,0,1a0tP.B99990022
-39601.44922,-36855.96094,-0.13782,99.8,2331.61182,1,1a0tP.B99990023
-39640.5625,-37248.46484,-0.14453,99.8,2242.54688,1,1a0tP.B99990024
-39548.58203,-37126.58594,-0.12876,100.0,2244.72119,0,1a0tP.B99990025
-39653.60156,-37238.45312,-0.14677,99.8,2247.62817,1,1a0tP.B99990026
-39436.70703,-36820.33594,-0.10957,99.5,2326.87769,2,1a0tP.B99990027
-39656.09766,-37184.66797,-0.14719,99.8,2317.08667,1,1a0tP.B99990028
-39619.12891,-37006.06641,-0.14085,100.0,2356.30469,0,1a0tP.B99990029
-39394.77344,-36455.3125,-0.10238,99.8,2370.00439,1,1a0tP.B99990030
-39281.15234,-36191.18359,-0.0829,99.8,2325.05542,1,1a0tP.B99990031
-39473.58594,-36807.79688,-0.1159,99.8,2320.58838,1,1a0tP.B99990032
-39384.82422,-36705.74219,-0.10068,99.8,2314.26709,1,1a0tP.B99990033
-39374.87109,-36579.65234,-0.09897,99.8,2523.79346,1,1a0tP.B99990034
-39358.14062,-36537.87891,-0.0961,99.8,2496.06665,1,1a0tP.B99990035
-39460.67969,-36765.40625,-0.11368,100.0,2433.00269,0,1a0tP.B99990036
-39586.4375,-36662.00781,-0.13525,99.5,2445.89771,2,1a0tP.B99990037
-39482.625,-36438.46484,-0.11745,100.0,2635.27393,0,1a0tP.B99990038
-39466.08984,-36566.33203,-0.11461,99.8,2328.23022,1,1a0tP.B99990039
-39672.92969,-37439.53516,-0.15008,99.8,2238.13306,1,1a0tP.B99990040
-39571.75391,-37130.15625,-0.13273,99.8,2367.27295,1,1a0tP.B99990041
-39651.43359,-37075.01562,-0.14639,99.8,2302.74194,1,1a0tP.B99990042
-39387.92969,-36433.64844,-0.10121,99.8,2268.68848,1,1a0tP.B99990043
-39438.94141,-36649.90234,-0.10996,99.8,2377.1731,1,1a0tP.B99990044
-39307.51953,-36344.40625,-0.08742,99.5,2701.2583,2,1a0tP.B99990045
-39385.30078,-36654.94141,-0.10076,99.8,2382.47241,1,1a0tP.B99990046
-39380.96094,-36426.10156,-0.10001,99.5,2317.64673,2,1a0tP.B99990047
-39399.64844,-36770.15234,-0.10322,99.8,2223.36743,1,1a0tP.B99990048
-39506.94531,-37079.80859,-0.12162,99.8,2302.22827,1,1a0tP.B99990049
-38919.26172,-35390.25781,-0.02084,99.8,2415.08203,1,1a0tP.B99990050
