DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-32521.34375,-25390.69141,0.14699,94.6,2956.93677,18,1a8y_.B99990001
-32230.75586,-24784.89648,0.20788,93.5,2997.08447,22,1a8y_.B99990002
-32833.57031,-25762.11719,0.08157,93.8,3092.54761,21,1a8y_.B99990003
-32556.27344,-25998.50195,0.13968,94.3,3030.66675,19,1a8y_.B99990004
-32531.81836,-25707.73242,0.1448,94.3,2955.91626,19,1a8y_.B99990005
-32537.59375,-25544.2832,0.14359,94.0,2956.62769,20,1a8y_.B99990006
-32478.57812,-25676.10156,0.15595,94.9,3023.61157,17,1a8y_.B99990007
-32527.04297,-25594.38086,0.1458,94.3,3093.77075,19,1a8y_.B99990008
-32506.43359,-25833.8418,0.15012,94.3,3040.53638,19,1a8y_.B99990009
-32749.36328,-26147.19141,0.09922,94.3,3019.35693,19,1a8y_.B99990010
-32621.61133,-25795.13281,0.12599,93.8,3180.29883,21,1a8y_.B99990011
-32386.40039,-25212.76562,0.17527,94.0,3158.38452,20,1a8y_.B99990012
-32866.82422,-25967.20898,0.07461,94.9,3084.68286,17,1a8y_.B99990013
-32375.58008,-25408.64258,0.17754,93.8,2940.19434,21,1a8y_.B99990014
-32690.51562,-26063.35938,0.11155,94.0,2969.30859,20,1a8y_.B99990015
-32829.26172,-26736.11914,0.08248,93.5,3167.56982,22,1a8y_.B99990016
-32567.09961,-25853.63281,0.13741,94.6,3063.6604,18,1a8y_.B99990017
-32469.08398,-25303.01758,0.15794,94.3,3000.6189,19,1a8y_.B99990018
-32345.49805,-25247.19922,0.18384,94.6,2952.39966,18,1a8y_.B99990019
-32707.77539,-26091.30469,0.10793,94.9,2977.57227,17,1a8y_.B99990020
-32644.48633,-25875.22266,0.12119,94.3,2994.03516,19,1a8y_.B99990021
-32732.12695,-26349.5625,0.10283,94.3,3140.9519,19,1a8y_.B99990022
-32625.21484,-25667.89258,0.12523,94.3,2968.2356,19,1a8y_.B99990023
-32122.61328,-24249.24219,0.23054,93.2,3646.62109,23,1a8y_.B99990024
-32391.37109,-25556.69336,0.17423,93.5,2971.74512,22,1a8y_.B99990025
-32558.58594,-25962.36914,0.13919,94.3,3002.97656,19,1a8y_.B99990026
-32479.55078,-25997.89258,0.15575,93.8,3048.42993,21,1a8y_.B99990027
-32550.82031,-25648.64453,0.14082,94.6,2991.77881,18,1a8y_.B99990028
-32443.64258,-25817.50195,0.16328,94.0,2982.50293,20,1a8y_.B99990029
-32474.92773,-25648.03711,0.15672,94.0,3040.08105,20,1a8y_.B99990030
-32537.11328,-25712.07812,0.14369,93.2,3051.40649,23,1a8y_.B99990031
-32349.82031,-25388.41797,0.18293,93.8,2986.25928,21,1a8y_.B99990032
-32451.69141,-26189.06445,0.16159,94.6,3083.6167,18,1a8y_.B99990033
-32780.94922,-26237.3125,0.0926,94.3,2969.04272,19,1a8y_.B99990034
-32302.875,-25075.75195,0.19277,93.8,2955.52686,21,1a8y_.B99990035
-32364.31641,-24666.88281,0.1799,93.8,3161.84033,21,1a8y_.B99990036
-32677.6875,-26294.25195,0.11424,93.8,3173.89404,21,1a8y_.B99990037
-32103.93945,-25091.11328,0.23445,94.0,2988.08765,20,1a8y_.B99990038
-32610.26172,-26020.97266,0.12836,94.3,2973.44312,19,1a8y_.B99990039
-32262.05859,-25465.93359,0.20132,93.8,3050.65552,21,1a8y_.B99990040
-32533.73828,-25683.18359,0.1444,94.0,2960.22974,20,1a8y_.B99990041
-32542.83594,-26107.13867,0.14249,94.3,3082.30713,19,1a8y_.B99990042
-32458.47852,-25480.58594,0.16017,94.3,2939.87012,19,1a8y_.B99990043
-32371.01562,-25192.29883,0.17849,94.3,3118.08789,19,1a8y_.B99990044
-32587.66211,-25955.95898,0.1331,94.3,2950.6875,19,1a8y_.B99990045
-32255.29688,-25340.90039,0.20274,93.5,3104.31323,22,1a8y_.B99990046
-32386.15234,-25542.45508,0.17532,94.0,2993.17261,20,1a8y_.B99990047
-32412.72852,-25498.12305,0.16975,94.9,3062.24023,17,1a8y_.B99990048
-32996.75781,-26285.10742,0.04738,94.6,3192.98071,18,1a8y_.B99990049
-32668.44141,-26054.23633,0.11617,93.8,3013.73022,21,1a8y_.B99990050
