DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-24624.17773,-21997.15234,-0.2568,97.6,1834.32031,6,1aoa_.B99990001
-24414.73438,-21352.6875,-0.19674,96.3,1820.2655,9,1aoa_.B99990002
-24144.64062,-20854.23633,-0.1193,96.7,1882.32971,8,1aoa_.B99990003
-24261.82227,-21025.46875,-0.1529,98.0,1895.57458,5,1aoa_.B99990004
-24676.38477,-21819.12109,-0.27177,97.1,1924.78418,7,1aoa_.B99990005
-24650.34961,-20568.13086,-0.2643,97.1,1879.00891,7,1aoa_.B99990006
-24140.66992,-20419.30664,-0.11816,95.5,2026.5625,11,1aoa_.B99990007
-24381.40625,-21068.10742,-0.18719,97.1,1861.68225,7,1aoa_.B99990008
-23707.45703,-18920.26172,0.00605,97.1,2355.15894,7,1aoa_.B99990009
-23917.54102,-20558.24414,-0.05419,98.0,1931.95776,5,1aoa_.B99990010
-24246.61133,-20499.59375,-0.14854,96.3,1962.80591,9,1aoa_.B99990011
-24688.41406,-21400.83594,-0.27522,97.6,1860.97168,6,1aoa_.B99990012
-25030.33203,-22037.50391,-0.37325,95.5,1874.59424,11,1aoa_.B99990013
-24184.47461,-20882.25,-0.13072,97.6,1854.31604,6,1aoa_.B99990014
-24567.99219,-20710.91797,-0.24069,97.1,1903.40796,7,1aoa_.B99990015
-24032.83203,-20894.16406,-0.08724,98.4,1743.80652,4,1aoa_.B99990016
-24638.18359,-20815.28125,-0.26081,97.6,1970.10254,6,1aoa_.B99990017
-24536.44336,-20523.49219,-0.23164,98.0,1908.72742,5,1aoa_.B99990018
-24659.12695,-20761.69922,-0.26682,97.1,1896.98987,7,1aoa_.B99990019
-24805.82031,-22229.35547,-0.30888,96.7,1891.52942,8,1aoa_.B99990020
-24290.16211,-20134.56445,-0.16103,97.6,1976.52832,6,1aoa_.B99990021
-23628.83594,-20319.31641,0.02859,97.1,1820.13,7,1aoa_.B99990022
-24894.38086,-20828.76953,-0.33427,97.1,1870.47534,7,1aoa_.B99990023
-24413.04883,-19766.72656,-0.19626,96.7,1942.43481,8,1aoa_.B99990024
-24099.77734,-19836.29492,-0.10644,98.0,1943.59839,5,1aoa_.B99990025
-24933.62891,-22078.17383,-0.34553,97.1,1766.19702,7,1aoa_.B99990026
-24200.55078,-20790.22852,-0.13533,97.1,1805.01282,7,1aoa_.B99990027
-24704.94531,-20380.18945,-0.27996,96.3,1897.14771,9,1aoa_.B99990028
-24868.4082,-21287.73438,-0.32682,97.6,1923.1012,6,1aoa_.B99990029
-24480.79883,-21418.59766,-0.21569,98.0,1800.71033,5,1aoa_.B99990030
-24562.92578,-21343.56836,-0.23923,98.4,1851.42615,4,1aoa_.B99990031
-24548.70312,-21270.77734,-0.23516,97.6,1879.1416,6,1aoa_.B99990032
-24456.39258,-21393.75,-0.20869,97.6,1788.11157,6,1aoa_.B99990033
-24736.76953,-21773.08008,-0.28908,96.7,1799.36035,8,1aoa_.B99990034
-24420.40039,-20882.69141,-0.19837,96.3,1844.47913,9,1aoa_.B99990035
-24638.89648,-21065.50781,-0.26102,97.1,1901.03845,7,1aoa_.B99990036
-24738.06641,-21950.41602,-0.28945,97.6,1813.49805,6,1aoa_.B99990037
-24229.58594,-20115.70898,-0.14366,98.4,1865.18457,4,1aoa_.B99990038
-24365.66211,-21068.06641,-0.18267,97.1,1938.67249,7,1aoa_.B99990039
-24440.33594,-21280.69336,-0.20408,96.7,1819.28149,8,1aoa_.B99990040
-24202.17773,-21080.79688,-0.1358,96.3,1847.52307,9,1aoa_.B99990041
-24419.63867,-21319.79883,-0.19815,97.1,1958.94653,7,1aoa_.B99990042
-25127.78906,-21807.37695,-0.4012,97.6,1947.87927,6,1aoa_.B99990043
-24360.45312,-21249.65234,-0.18118,98.0,1869.70239,5,1aoa_.B99990044
-24649.07617,-20612.91602,-0.26394,97.1,2010.90674,7,1aoa_.B99990045
-24217.99805,-21192.21289,-0.14033,97.1,1877.16919,7,1aoa_.B99990046
-24572.9043,-20852.55078,-0.2421,96.7,1937.40955,8,1aoa_.B99990047
-24469.39844,-21365.19141,-0.21242,97.1,2020.30737,7,1aoa_.B99990048
-24259.91992,-20262.72852,-0.15235,97.6,1884.63123,6,1aoa_.B99990049
-24772.94336,-22106.73242,-0.29945,96.3,1843.94922,9,1aoa_.B99990050
