DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-3586.32495,-3418.45483,0.86492,98.6,434.1442,1,1aw0_.B99990001
-3412.3125,-3125.43335,1.03609,98.6,451.20044,1,1aw0_.B99990002
-3648.53369,-3717.67236,0.80373,98.6,355.23441,1,1aw0_.B99990003
-3601.70947,-3472.91699,0.84979,100.0,377.29727,0,1aw0_.B99990004
-3574.3667,-3618.87988,0.87669,100.0,404.17389,0,1aw0_.B99990005
-3512.59814,-3335.48389,0.93744,98.6,422.63278,1,1aw0_.B99990006
-3453.13037,-3116.31689,0.99594,100.0,406.80374,0,1aw0_.B99990007
-3324.76245,-2953.81519,1.12221,100.0,487.02551,0,1aw0_.B99990008
-3576.97241,-3365.60522,0.87412,98.6,422.73331,1,1aw0_.B99990009
-3445.17505,-3381.4436,1.00376,98.6,461.10315,1,1aw0_.B99990010
-3703.22363,-3528.11523,0.74994,100.0,397.9523,0,1aw0_.B99990011
-3557.51733,-3455.65039,0.89326,100.0,418.41122,0,1aw0_.B99990012
-3552.6084,-3442.7124,0.89809,100.0,416.40756,0,1aw0_.B99990013
-3412.62012,-3348.79517,1.03579,98.6,471.65189,1,1aw0_.B99990014
-3620.83252,-3541.60327,0.83098,98.6,434.42865,1,1aw0_.B99990015
-3731.15332,-3677.13477,0.72247,95.7,436.62335,3,1aw0_.B99990016
-3451.42993,-3148.55884,0.99761,97.1,451.24197,2,1aw0_.B99990017
-3540.22388,-3444.73022,0.91027,100.0,439.94733,0,1aw0_.B99990018
-3522.79297,-3508.74561,0.92742,98.6,419.91492,1,1aw0_.B99990019
-3480.9895,-3438.96265,0.96854,100.0,377.03641,0,1aw0_.B99990020
-3543.42017,-3443.30298,0.90713,95.7,465.1597,3,1aw0_.B99990021
-3644.83545,-3657.65356,0.80737,98.6,449.88168,1,1aw0_.B99990022
-3602.05811,-3468.7251,0.84945,100.0,378.9064,0,1aw0_.B99990023
-3573.66846,-3377.92065,0.87737,100.0,404.92651,0,1aw0_.B99990024
-3640.4978,-3419.99609,0.81164,100.0,403.26111,0,1aw0_.B99990025
-3821.78979,-3674.69482,0.63331,100.0,384.56012,0,1aw0_.B99990026
-3520.63574,-3441.39087,0.92954,100.0,369.83005,0,1aw0_.B99990027
-3648.82007,-3444.5437,0.80345,100.0,419.73279,0,1aw0_.B99990028
-3614.89771,-3630.97607,0.83682,98.6,443.55606,1,1aw0_.B99990029
-3539.32324,-3308.99731,0.91116,97.1,425.4491,2,1aw0_.B99990030
-3583.45972,-3256.64575,0.86774,98.6,404.4791,1,1aw0_.B99990031
-3592.38354,-3548.48438,0.85897,97.1,411.11798,2,1aw0_.B99990032
-3793.99756,-3792.54272,0.66065,98.6,361.67664,1,1aw0_.B99990033
-3472.9541,-3255.73975,0.97644,98.6,418.3782,1,1aw0_.B99990034
-3527.60107,-3335.57397,0.92269,98.6,454.47055,1,1aw0_.B99990035
-3486.17944,-3143.05127,0.96343,98.6,495.5228,1,1aw0_.B99990036
-3607.03198,-3385.97046,0.84456,98.6,436.95883,1,1aw0_.B99990037
-3615.59375,-3489.03687,0.83613,100.0,382.04047,0,1aw0_.B99990038
-3589.06226,-3515.99243,0.86223,98.6,380.32849,1,1aw0_.B99990039
-3725.9939,-3502.60425,0.72754,100.0,373.8519,0,1aw0_.B99990040
-3699.27881,-3327.99341,0.75382,98.6,466.09229,1,1aw0_.B99990041
-3740.93896,-3636.61206,0.71284,100.0,457.26901,0,1aw0_.B99990042
-3525.33008,-3560.17432,0.92492,98.6,413.64651,1,1aw0_.B99990043
-3555.31665,-3363.11401,0.89543,98.6,383.50726,1,1aw0_.B99990044
-3705.24829,-3569.59937,0.74795,100.0,420.18115,0,1aw0_.B99990045
-3516.37378,-3333.29395,0.93373,97.1,434.64133,2,1aw0_.B99990046
-3482.69043,-3377.21777,0.96686,100.0,425.49017,0,1aw0_.B99990047
-3493.93481,-3114.50317,0.9558,98.6,521.30115,1,1aw0_.B99990048
-3466.85107,-3371.34106,0.98244,98.6,412.17047,1,1aw0_.B99990049
-3564.17017,-3432.63867,0.88672,97.1,415.30258,2,1aw0_.B99990050
