DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-4679.25342,-2358.55493,3.95825,99.3,742.93665,1,1awcB.B99990001
-4747.25977,-4758.07764,3.92677,100.0,481.56088,0,1awcB.B99990002
-5365.04004,-5287.92627,3.64081,100.0,518.48578,0,1awcB.B99990003
-5381.77979,-4000.63208,3.63306,99.3,521.53662,1,1awcB.B99990004
-5724.8833,-5102.25146,3.47424,98.0,566.73688,3,1awcB.B99990005
-5643.85742,-4327.0459,3.51174,100.0,561.16925,0,1awcB.B99990006
-3886.98633,1283.38794,4.32498,92.1,992.90417,12,1awcB.B99990007
-4506.0127,-2158.95654,4.03844,98.0,950.93262,3,1awcB.B99990008
-5610.15234,-4769.97217,3.52735,99.3,513.29095,1,1awcB.B99990009
-5401.47852,-2197.19604,3.62394,96.7,640.56537,5,1awcB.B99990010
-4991.20508,-3424.20605,3.81385,97.4,590.4538,4,1awcB.B99990011
-5543.54053,-437.53659,3.55818,90.1,733.52771,15,1awcB.B99990012
-5790.32666,-5039.94629,3.44395,98.0,562.73602,3,1awcB.B99990013
-5016.7998,-3459.91602,3.802,98.0,534.77167,3,1awcB.B99990014
-4812.125,-4384.00049,3.89674,99.3,484.39154,1,1awcB.B99990015
-5090.27197,-687.94171,3.76799,94.7,783.62451,8,1awcB.B99990016
-4820.86133,-2716.82349,3.8927,96.7,710.60388,5,1awcB.B99990017
-5676.98242,-3247.05957,3.49641,98.0,608.65259,3,1awcB.B99990018
-5746.91797,-4235.88086,3.46404,96.7,527.01678,5,1awcB.B99990019
-5067.34521,-494.65143,3.7786,96.7,764.32983,5,1awcB.B99990020
-4842.10254,-4439.88818,3.88287,99.3,569.70184,1,1awcB.B99990021
-5209.33936,-4437.61963,3.71288,99.3,524.61841,1,1awcB.B99990022
-5186.2251,-3868.91064,3.72358,98.7,597.43097,2,1awcB.B99990023
-5805.41357,-3212.01196,3.43696,98.0,588.54584,3,1awcB.B99990024
-4378.83057,407.1405,4.09731,94.0,1011.46613,9,1awcB.B99990025
-4482.48291,-2096.62866,4.04933,97.4,573.38062,4,1awcB.B99990026
-3900.86572,825.01752,4.31855,98.0,1094.75195,3,1awcB.B99990027
-5211.93555,-4676.31006,3.71167,100.0,466.02313,0,1awcB.B99990028
-5336.35889,-5277.2124,3.65408,99.3,551.25604,1,1awcB.B99990029
-4819.44775,-3634.71729,3.89335,100.0,562.58698,0,1awcB.B99990030
-5227.33398,-4916.90381,3.70455,100.0,573.59552,0,1awcB.B99990031
-4805.66064,-2378.62305,3.89973,96.7,599.62524,5,1awcB.B99990032
-5194.60645,-4896.11279,3.7197,100.0,504.16705,0,1awcB.B99990033
-4848.21826,-4761.82764,3.88003,100.0,531.63855,0,1awcB.B99990034
-5114.27637,-1151.14136,3.75688,94.0,651.64508,9,1awcB.B99990035
-4945.85791,-1148.72803,3.83484,93.4,797.34625,10,1awcB.B99990036
-5530.76172,-5345.55762,3.56409,100.0,509.63257,0,1awcB.B99990037
-5085.75879,-4564.56201,3.77008,100.0,571.6684,0,1awcB.B99990038
-4905.71875,-2840.51489,3.85342,97.4,543.38031,4,1awcB.B99990039
-4847.58154,-2597.93921,3.88033,95.4,612.93811,7,1awcB.B99990040
-6026.22168,-4283.96338,3.33475,100.0,545.87366,0,1awcB.B99990041
-5517.88428,-4582.96045,3.57006,100.0,538.34326,0,1awcB.B99990042
-5575.92627,-5138.47852,3.54319,99.3,540.47455,1,1awcB.B99990043
-4610.2251,-4424.83643,3.9902,100.0,537.76636,0,1awcB.B99990044
-4816.21484,-3555.75269,3.89485,98.0,530.80731,3,1awcB.B99990045
-5665.86182,-4975.91309,3.50156,100.0,530.91168,0,1awcB.B99990046
-5325.31348,-5037.72705,3.65919,100.0,544.42334,0,1awcB.B99990047
-5157.3125,-4612.73975,3.73696,100.0,500.40344,0,1awcB.B99990048
-4691.54932,-3235.7605,3.95255,97.4,590.67114,4,1awcB.B99990049
-5285.54785,-5418.41699,3.6776,99.3,506.78809,1,1awcB.B99990050
